prediction,n_carriers,avg_dep_delay_mean,avg_dep_delay_delta,avg_dep_delay_zscore,avg_arr_delay_mean,avg_arr_delay_delta,avg_arr_delay_zscore,cancellation_rate_mean,cancellation_rate_delta,cancellation_rate_zscore,avg_carrier_delay_mean,avg_carrier_delay_delta,avg_carrier_delay_zscore,avg_weather_delay_mean,avg_weather_delay_delta,avg_weather_delay_zscore,avg_nas_delay_mean,avg_nas_delay_delta,avg_nas_delay_zscore,avg_security_delay_mean,avg_security_delay_delta,avg_security_delay_zscore,avg_late_aircraft_mean,avg_late_aircraft_delta,avg_late_aircraft_zscore,on_time_rate_mean,on_time_rate_delta,on_time_rate_zscore,diverted_rate_mean,diverted_rate_delta,diverted_rate_zscore
0,9,8.4396,-2.4103,-0.57,3.3417,-2.705,-0.5891,1.474,-0.3449,-0.2453,3.633,-1.0348,-0.5893,0.6182,-0.3258,-0.4647,3.1943,-0.0826,-0.0602,0.0202,-0.0093,-0.2424,4.3331,-1.3646,-0.4829,66.785,0.4931,0.0984,0.2109,-0.0144,-0.2522
1,5,15.1886,4.3386,1.026,10.9157,4.869,1.0603,2.4398,0.6209,0.4416,6.5303,1.8626,1.0607,1.5304,0.5864,0.8365,3.4255,0.1486,0.1084,0.0462,0.0167,0.4362,8.1541,2.4564,0.8692,65.4044,-0.8875,-0.1772,0.2511,0.0258,0.454
