study,label,n_features,features,best_k,best_silhouette,best_wssse,elapsed_seconds,local_csv,metrics_csv,hdfs_output
base,BASE,8,"avg_dep_delay,avg_arr_delay,cancellation_rate,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_security_delay,avg_late_aircraft",2,0.5837,73.4297,12.3165,/opt/spark/jobs/results/clustering_base.csv,/opt/spark/jobs/results/clustering_base_kmetrics.csv,hdfs://namenode:9000/sabd/results/clustering_base/
extended,EXTENDED,10,"avg_dep_delay,avg_arr_delay,cancellation_rate,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_security_delay,avg_late_aircraft,on_time_rate,diverted_rate",2,0.4015,88.0631,8.2125,/opt/spark/jobs/results/clustering_extended.csv,/opt/spark/jobs/results/clustering_extended_kmetrics.csv,hdfs://namenode:9000/sabd/results/clustering_extended/
