prediction,n_carriers,avg_dep_delay_mean,avg_dep_delay_delta,avg_dep_delay_zscore,avg_arr_delay_mean,avg_arr_delay_delta,avg_arr_delay_zscore,cancellation_rate_mean,cancellation_rate_delta,cancellation_rate_zscore,avg_carrier_delay_mean,avg_carrier_delay_delta,avg_carrier_delay_zscore,avg_weather_delay_mean,avg_weather_delay_delta,avg_weather_delay_zscore,avg_nas_delay_mean,avg_nas_delay_delta,avg_nas_delay_zscore,avg_security_delay_mean,avg_security_delay_delta,avg_security_delay_zscore,avg_late_aircraft_mean,avg_late_aircraft_delta,avg_late_aircraft_zscore
0,11,9.2289,-1.6211,-0.3834,4.2912,-1.7555,-0.3823,1.4107,-0.4083,-0.2904,4.2065,-0.4612,-0.2627,0.9143,-0.0297,-0.0424,3.2435,-0.0334,-0.0243,0.0325,0.003,0.0774,4.535,-1.1628,-0.4115
1,3,16.7939,5.9439,1.4057,12.4835,6.4368,1.4017,3.3159,1.497,1.0648,6.359,1.6912,0.9631,1.0529,0.1089,0.1554,3.3992,0.1223,0.0892,0.0186,-0.0109,-0.2839,9.9612,4.2634,1.5087
