prediction,n_carriers,avg_dep_delay_mean,avg_dep_delay_delta,avg_dep_delay_zscore,avg_arr_delay_mean,avg_arr_delay_delta,avg_arr_delay_zscore,cancellation_rate_mean,cancellation_rate_delta,cancellation_rate_zscore,avg_carrier_delay_mean,avg_carrier_delay_delta,avg_carrier_delay_zscore,avg_weather_delay_mean,avg_weather_delay_delta,avg_weather_delay_zscore,avg_nas_delay_mean,avg_nas_delay_delta,avg_nas_delay_zscore,avg_security_delay_mean,avg_security_delay_delta,avg_security_delay_zscore,avg_late_aircraft_mean,avg_late_aircraft_delta,avg_late_aircraft_zscore
0,13,10.1626,-0.6873,-0.1625,5.1922,-0.8545,-0.1861,1.4809,-0.3381,-0.2405,4.471,-0.1967,-0.112,0.8891,-0.0549,-0.0782,3.2752,-0.0016,-0.0012,0.0293,-0.0002,-0.0056,5.2051,-0.4926,-0.1743
1,1,19.7851,8.9352,2.1131,17.1557,11.109,2.4191,6.2138,4.3948,3.126,7.2255,2.5577,1.4566,1.6571,0.7131,1.0172,3.298,0.0212,0.0154,0.0323,0.0028,0.0734,12.102,6.4043,2.2662
