prediction,n_carriers,avg_dep_delay_mean,avg_dep_delay_delta,avg_dep_delay_zscore,avg_arr_delay_mean,avg_arr_delay_delta,avg_arr_delay_zscore,cancellation_rate_mean,cancellation_rate_delta,cancellation_rate_zscore,avg_carrier_delay_mean,avg_carrier_delay_delta,avg_carrier_delay_zscore,avg_weather_delay_mean,avg_weather_delay_delta,avg_weather_delay_zscore,avg_nas_delay_mean,avg_nas_delay_delta,avg_nas_delay_zscore,avg_security_delay_mean,avg_security_delay_delta,avg_security_delay_zscore,avg_late_aircraft_mean,avg_late_aircraft_delta,avg_late_aircraft_zscore,on_time_rate_mean,on_time_rate_delta,on_time_rate_zscore,diverted_rate_mean,diverted_rate_delta,diverted_rate_zscore
0,10,8.7653,-2.0846,-0.493,3.7666,-2.2801,-0.4965,1.4829,-0.336,-0.239,4.0604,-0.6074,-0.3459,0.8024,-0.1416,-0.202,3.142,-0.1349,-0.0983,0.0202,-0.0093,-0.2435,4.2365,-1.4612,-0.5171,67.3037,1.0118,0.202,0.2219,-0.0034,-0.0592
1,4,16.0616,5.2116,1.2325,11.7469,5.7002,1.2413,2.6591,0.8401,0.5975,6.1863,1.5185,0.8648,1.298,0.354,0.5049,3.614,0.3371,0.2458,0.0528,0.0233,0.6086,9.3508,3.653,1.2927,63.7625,-2.5295,-0.5049,0.2337,0.0084,0.148
